AQS Code	CAMS	TCEQ Region	Reg#	EPA Reg	Site Name	Street Address	Urban Area	Latitude	Longitude	Elevation	Timezone	Params	Activation Date	Deactivation Date	Maintained By	Owned By
482010075	0411	HOUSTON	12	Y	Houston Texas Avenue	2311 Texas Ave 	HOUSTON, TX	29.7527780	-95.3502780	12.0	CENTRAL		30-Mar-2001	24-Oct-2016	City of Houston Health Department	City of Houston Health Department
482010101		HOUSTON	12	Y	USEPA-482010101	N Bnk Buffalo Bayou Deer Pk Shell Comp 	NOT IN AN URBAN AREA	0	0	3.0	CENTRAL		01-Jan-1977	31-Dec-1981	US EPA - Region 9	US EPA - Region 9
482010307	1029	HOUSTON	12	N	Manchester East Avenue N	9415 East Avenue N 		29.7193939	-95.2594661		CENTRAL	55	09-May-2005		TCEQ	TCEQ
482010416	0416	HOUSTON	12	Y	Park Place	7421 Park Place Blvd 	HOUSTON, TX	29.6862958	-95.2947162	10.0	CENTRAL	17	22-Feb-2006		City of Houston Health Department	TCEQ
482010417	0417	HOUSTON	12	Y	Houston Harvard Street	160 Harvard Street 	HOUSTON, TX	29.7728566	-95.3959368	8.0	CENTRAL	8	25-Jan-2021		City of Houston Health Department	TCEQ
482010551	0551	HOUSTON	12	N	Sheldon	15345 Beaumont Hwy 		29.8586111	-95.1602778	40.0	CENTRAL	1	17-Apr-2002		Harris County Pollution Control Services	Harris County Pollution Control Services
482010552	0552	HOUSTON	12	N	Baytown Wetlands Center	1724 Market Street 		29.7330556	-94.9847222	0	CENTRAL	1	11-Jun-2003		Harris County Pollution Control Services	Harris County Pollution Control Services
482010553	0553	HOUSTON	12	N	Crosby Library	135 Hare Road 		29.9208333	-95.0683333	12.0	CENTRAL	1	16-Jun-2003		Harris County Pollution Control Services	Harris County Pollution Control Services
482010554	0554	HOUSTON	12	N	West Houston	16719 Clay Road 		29.8330556	-95.6569444	12.0	CENTRAL	1	24-Dec-2003		Harris County Pollution Control Services	Harris County Pollution Control Services
482010555	0555	HOUSTON	12	N	Kingwood Library C555	4102 Rustic Woods Drive 		30.0547222	-95.1850000	12.0	CENTRAL		01-Jan-2004	18-Mar-2010	Harris County Pollution Control Services	Harris County Pollution Control Services
482010556	0556	HOUSTON	12	N	La Porte Sylvan Beach	636 Bayshore Drive 		29.6552778	-95.0097222	12.0	CENTRAL	1	01-Jan-2004		Harris County Pollution Control Services	Harris County Pollution Control Services
482010557	0557	HOUSTON	12	N	Mercer Arboretum	22306 Aldine Westfield Road 		30.0380556	-95.3811111	12.0	CENTRAL	1	12-Feb-2004		Harris County Pollution Control Services	Harris County Pollution Control Services
482010558	0558	HOUSTON	12	N	Tom Bass	15108 Cullen Blvd 		29.5894444	-95.3536111	12.0	CENTRAL	1	06-Feb-2004		Harris County Pollution Control Services	Harris County Pollution Control Services
482010559	0559	HOUSTON	12	N	Katy Park	24927 Morton Road 		29.8105556	-95.8061111	12.0	CENTRAL	1	12-Mar-2004		Harris County Pollution Control Services	Harris County Pollution Control Services
482010560	0560	HOUSTON	12	N	Atascocita	2302 Atascocita Rd 	HOUSTON, TX	29.9619440	-95.2350000	12.0	CENTRAL	1	29-Jul-2004		Harris County Pollution Control Services	Harris County Pollution Control Services
482010561	0561	HOUSTON	12	N	Meyer Park	7700 Cypresswood Dr 	HOUSTON, TX	30.0116670	-95.5225000	12.0	CENTRAL	1	30-Jul-2004		Harris County Pollution Control Services	Harris County Pollution Control Services
482010562	0562	HOUSTON	12	N	Bunker Hill Village	11977 Memorial Drive 		29.7783330	-95.5380560	12.0	CENTRAL	1	08-Oct-2004		Harris County Pollution Control Services	Harris County Pollution Control Services
482010563	0563	HOUSTON	12	N	Huffman Wolf Road	2100 Wolf Road 	HOUSTON, TX	30.0578600	-95.0614700	22.9	CENTRAL	1	21-Sep-2010		Harris County Pollution Control Services	Harris County Pollution Control Services
482010570	0570	HOUSTON	12	N	Clear Brook High School	4607 FM 2351 		29.5488889	-95.1852778	14.0	CENTRAL		12-Sep-2003	26-May-2018	University of Houston	University of Houston
482010572	0572	HOUSTON	12	N	Clear Lake High School	2929 Bay Area Blvd 		29.5833330	-95.1050000	6.0	CENTRAL		12-Sep-2003	24-May-2016	University of Houston	University of Houston
482010617	0617	HOUSTON	12	N	Wallisville Road	4727 Wallisville Road 		29.8213890	-94.9900000	12.0	CENTRAL	60	30-May-2003		AECOM (formerly URS Corp)	Houston Regional Monitoring
482010669	0669	HOUSTON	12	N	TPC FTIR South	8600 Park Place Blvd 	HOUSTON, TX	29.6947220	-95.2527780	7.0	CENTRAL	8	13-Jan-2006		IMACC	Texas Petrochemicals
482010670	0670	HOUSTON	12	N	TPC FTIR North	8600 Park Place Blvd 	HOUSTON, TX	29.7019440	-95.2572220	10.0	CENTRAL	6	01-Jan-2006		IMACC	Texas Petrochemicals
482010671	0671, 671 	HOUSTON	12	N	Goodyear GC	9728 West Road 	HOUSTON, TX	29.7061110	-95.2550000	3.0	CENTRAL	12	04-May-2006		TRC Environmental	Goodyear Tire & Rubber Co
482010672	0672	HOUSTON	12	N	PASADENA  AAMS  C672	901 Curtis Avenue 	HOUSTON, TX	29.6891592	-95.2038208	3.0	CENTRAL		19-Jul-2006	03-Mar-2009	AECOM (formerly URS Corp)	Harris County Pollution Control Services
482010673	0673	HOUSTON	12	N	Goodyear Houston Site &#x23;2	2000 Goodyear Dr 	HOUSTON, TX	29.7023000	-95.2566970	5.0	CENTRAL	12	01-Oct-2006		TRC Environmental	Goodyear Tire & Rubber Co
482010688	0688	HOUSTON	12	N	Pasadena AAMS C0688	901 Curtis Ave 		&nbsp;	&nbsp;		CENTRAL		21-Mar-2006	02-Mar-2009	AECOM (formerly URS Corp)	Harris County Pollution Control Services
482010695	0695	HOUSTON	12	N	UH Moody Tower	4401 Wheeler Street 	HOUSTON, TX	29.7176000	-95.3414000	18.0	CENTRAL		31-Mar-2010	18-Jul-2024	University of Houston	University of Houston
482010803	0114, 0603	HOUSTON	12	Y	HRM &#x23;3 Haden Rd	1504 1&#x2f;2 Haden Road 	HOUSTON, TX	29.7647778	-95.1783668	6.0	CENTRAL	147	14-Nov-1992		AECOM (formerly URS Corp)	Houston Regional Monitoring
482010804	0604	HOUSTON	12	N	HRM-4 Sheldon Rd C604	Sheldon Road 		29.8347220	-95.1319440	12.0	CENTRAL		29-Nov-1999	06-Dec-2001	AECOM (formerly URS Corp)	Houston Regional Monitoring
482010807	0607	HOUSTON	12	Y	HRM 7 BAYTOWN	4621-4639 W Baker Rd 	HOUSTON, TX	29.7692640	-95.0175090	6.0	CENTRAL	55	29-Nov-1999		AECOM (formerly URS Corp)	Houston Regional Monitoring
